smiles,ccdid,description,sm_check,rd_smiles,res_smiles
CCNC(Cc1ccc(cc1)C)C(=O)O,7VU,(2s)-2-(ethylamino)-3-(4-methylphenyl)propanoic acid,True,CCNC(Cc1ccc(C)cc1)C(=O)O,CCNC(C=O)Cc1ccc(C)cc1
c1c(cc(c(c1F)C(F)(F)F)F)CCC(C(=O)O)N,7W2,"(2s)-2-azanyl-4-[3,5-bis(fluoranyl)-4-(trifluoromethyl)phenyl]butanoic acid",True,NC(CCc1cc(F)c(C(F)(F)F)c(F)c1)C(=O)O,NC(C=O)CCc1cc(F)c(C(F)(F)F)c(F)c1
c1ccnc(c1)c2cc(cc(n2)c3ccccn3)C(=O)NCCC(C(=O)O)N,7WJ,"(2s)-2-amino-4-[([1~2~,2~2~:2~6~,3~2~-terpyridine]-2~4~-carbonyl)amino]butanoic acid",True,NC(CCNC(=O)c1cc(-c2ccccn2)nc(-c2ccccn2)c1)C(=O)O,NC(C=O)CCNC(=O)c1cc(-c2ccccn2)nc(-c2ccccn2)c1
c1cc(ccc1CC(C(=O)O)N)NC(=N)N,7XC,(2r)-2-azanyl-3-(4-carbamimidamidophenyl)propanoic acid,True,N=C(N)Nc1ccc(CC(N)C(=O)O)cc1,N=C(N)Nc1ccc(CC(N)C=O)cc1
Cc1c(c(c(cn1)COP(=O)(O)O)CNC(CCS)C(=O)O)O,7XF,(2~{s})-2-[[2-methyl-3-oxidanyl-5-(phosphonooxymethyl)pyridin-4-yl]methylamino]-4-sulfanyl-butanoic acid,True,Cc1ncc(COP(=O)(O)O)c(CNC(CCS)C(=O)O)c1O,Cc1ncc(COP(=O)(O)O)c(CNC(C=O)CCS)c1O
C1=CC(=O)NC1C(=O)O,7YL,"(2r)-5-oxidanylidene-1,2-dihydropyrrole-2-carboxylic acid",True,O=C1C=CC(C(=O)O)N1,O=CC1C=CC(=O)N1
c1nc(c2c(n1)n(cn2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OCC4C(C(C(O4)N5C=CC(C(=C5)C(=O)N)SCC(C(=O)O)N)O)O)O)O)N,80F,"(2r)-3-[[(4s)-3-aminocarbonyl-1-[(2r,3r,4s,5r)-5-[[[[(2r,3s,4r,5r)-5-(6-aminopurin-9-yl)-3,4-bis(oxidanyl)oxolan-2-yl]methoxy-oxidanyl-phosphoryl]oxy-oxidanyl-phosphoryl]oxymethyl]-3,4-bis(oxidanyl)oxolan-2-yl]-4h-pyridin-4-yl]sulfanyl]-2-azanyl-propanoic acid",True,NC(=O)C1=CN(C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(O)C3O)C(O)C2O)C=CC1SCC(N)C(=O)O,NC(=O)C1=CN(C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(O)C3O)C(O)C2O)C=CC1SCC(N)C=O
C(C(CS)S)C(C(=O)O)N,81R,"(4r)-4,5-disulfanyl-l-norvaline",True,NC(CC(S)CS)C(=O)O,NC(C=O)CC(S)CS
C(CN(CCCS)C(=O)CC(C(=O)O)N)CS,823,"n,n-bis(3-sulfanylpropyl)-l-asparagine",True,NC(CC(=O)N(CCCS)CCCS)C(=O)O,NC(C=O)CC(=O)N(CCCS)CCCS
CCNC(=O)CCC(C(=O)O)N,85G,n-ethyl-l-glutamine,True,CCNC(=O)CCC(N)C(=O)O,CCNC(=O)CCC(N)C=O
CCCNC(=O)CCC(C(=O)O)N,85J,n-propyl-l-glutamine,True,CCCNC(=O)CCC(N)C(=O)O,CCCNC(=O)CCC(N)C=O
c1nc(c2c(n1)n(cn2)c3c(c(c(o3)COP(=O)(O)OC(=O)CCC(C(=O)O)N)O)O)N,86N,"(2s)-5-[[5-(6-aminopurin-9-yl)-3,4-bis(oxidanyl)furan-2-yl]methoxy-oxidanyl-phosphoryl]oxy-2-azanyl-5-oxidanylidene-pentanoic acid",True,Nc1ncnc2c1ncn2-c1oc(COP(=O)(O)OC(=O)CCC(N)C(=O)O)c(O)c1O,Nc1ncnc2c1ncn2-c1oc(COP(=O)(O)OC(=O)CCC(N)C=O)c(O)c1O
CC(C)c1ccc2c(c1)sc(n2)CC(C(=O)O)N,8AY,"3-[6-(propan-2-yl)-1,3-benzothiazol-2-yl]-l-alanine",True,CC(C)c1ccc2nc(CC(N)C(=O)O)sc2c1,CC(C)c1ccc2nc(CC(N)C=O)sc2c1
c1cc(ccc1C(=O)NC(CCC(=O)O)C(=O)O)N,8DM,n-(4-aminobenzene-1-carbonyl)-l-glutamic acid,True,Nc1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1,Nc1ccc(C(=O)NC(C=O)CCC(=O)O)cc1
c1cc2c(c(c1)S(=O)(=O)Nc3ccsc3C(=O)NC(CCCNC(=N)N)C(=O)O)nsn2,8DR,"(s)-2-(3-(benzo[c][1,2,5]thiadiazole-4-sulfonamido)thiophene-2-carboxamido)-5-guanidinopentanoic acid",True,N=C(N)NCCCC(NC(=O)c1sccc1NS(=O)(=O)c1cccc2nsnc12)C(=O)O,N=C(N)NCCCC(C=O)NC(=O)c1sccc1NS(=O)(=O)c1cccc2nsnc12
C1C(COC2C1OC(C2)(CC(C(=O)O)N)C(=O)O)O,8DX,"(2r,3ar,6s,7ar)-2-[(2s)-2-amino-3-hydroxy-3-oxo-propyl]-6-hydroxy-3,3a,5,6,7,7a-hexahydrofuro[4,5-b]pyran-2-carboxylic acid",True,NC(CC1(C(=O)O)CC2OCC(O)CC2O1)C(=O)O,NC(C=O)CC1(C(=O)O)CC2OCC(O)CC2O1
C1C2C(C(C(CO2)O)O)OC1(CC(C(=O)O)N)C(=O)O,8EP,"(2r,3ar,6r,7s,7ar)-2-[(2s)-2-amino-3-hydroxy-3-oxo-propyl]-6,7-dihydroxy-3,3a,5,6,7,7a-hexahydrofuro[4,5-b]pyran-2-carboxylic acid",True,NC(CC1(C(=O)O)CC2OCC(O)C(O)C2O1)C(=O)O,NC(C=O)CC1(C(=O)O)CC2OCC(O)C(O)C2O1
C1C=CNC1C(=O)O,8LJ,"(2s)-2,3-dihydro-1h-pyrrole-2-carboxylic acid",True,O=C(O)C1CC=CN1,O=CC1CC=CN1
C(CN)C(C(C(C(=O)O)N)O)O,8RE,"3,4-dihydroxylysine",True,NCCC(O)C(O)C(N)C(=O)O,NCCC(O)C(O)C(N)C=O
CCCCCCCC(=O)OCC(COP(=O)(O)OCC(C(=O)O)N)OC(=O)CCCCCCC,8SP,"o-[(r)-{[(2r)-2,3-bis(octanoyloxy)propyl]oxy}(hydroxy)phosphoryl]-l-serine",True,CCCCCCCC(=O)OCC(COP(=O)(O)OCC(N)C(=O)O)OC(=O)CCCCCCC,CCCCCCCC(=O)OCC(COP(=O)(O)OCC(N)C=O)OC(=O)CCCCCCC
CC(CCC(C(=O)O)N)(O)O,8WY,"5,5-dihydroxy-l-norleucine",True,CC(O)(O)CCC(N)C(=O)O,CC(O)(O)CCC(N)C=O
C1COCC1C(C(=O)O)N,8YR,(2s)-2-azanyl-2-[(3r)-oxolan-3-yl]ethanoic acid,True,NC(C(=O)O)C1CCOC1,NC(C=O)C1CCOC1
c1cc(c(c(c1)O)O)C(=O)NCCCCC(C(=O)O)NC(=O)c2cccc(c2O)O,95B,azotochelin,True,O=C(NCCCCC(NC(=O)c1cccc(O)c1O)C(=O)O)c1cccc(O)c1O,O=CC(CCCCNC(=O)c1cccc(O)c1O)NC(=O)c1cccc(O)c1O
CC1Cc2c(cc(c(c2C(=O)O1)O)C(=O)NC(Cc3ccccc3)C(=O)O)Cl,97U,"(2~{s})-2-[[(3~{r})-5-chloranyl-3-methyl-8-oxidanyl-1-oxidanylidene-3,4-dihydroisochromen-7-yl]carbonylamino]-3-phenyl-propanoic acid",True,CC1Cc2c(Cl)cc(C(=O)NC(Cc3ccccc3)C(=O)O)c(O)c2C(=O)O1,CC1Cc2c(Cl)cc(C(=O)NC(C=O)Cc3ccccc3)c(O)c2C(=O)O1
C(C(C(=O)O)O)(C(=O)O)N,999,(3s)-3-hydroxy-d-aspartic acid,True,NC(C(=O)O)C(O)C(=O)O,NC(C=O)C(O)C(=O)O
c1cc(ccc1CC(C(=O)O)N)C(=O)O,99Y,4-carboxy-d-phenylalanine,True,NC(Cc1ccc(C(=O)O)cc1)C(=O)O,NC(C=O)Cc1ccc(C(=O)O)cc1
CN(C)c1cccc2c1cccc2S(=O)(=O)NC(CC(=O)N)C(=O)O,9DN,dansyl-l-asparagine,True,CN(C)c1cccc2c(S(=O)(=O)NC(CC(N)=O)C(=O)O)cccc12,CN(C)c1cccc2c(S(=O)(=O)NC(C=O)CC(N)=O)cccc12
C(c1[nH]nnn1)C(C(=O)O)N,9DQ,"(2~{s})-2-azanyl-3-(1~{h}-1,2,3,4-tetrazol-5-yl)propanoic acid",True,NC(Cc1nnn[nH]1)C(=O)O,NC(C=O)Cc1nnn[nH]1
CN(C)c1cccc2c1cccc2S(=O)(=O)N(C)CC(=O)O,9DS,dansyl-l-sarcosine,True,CN(C)c1cccc2c(S(=O)(=O)N(C)CC(=O)O)cccc12,CN(C)c1cccc2c(S(=O)(=O)N(C)CC=O)cccc12
CC(Cc1ccccc1F)(C(=O)O)N,9DT,(2~{s})-2-azanyl-3-(2-fluorophenyl)-2-methyl-propanoic acid,True,CC(N)(Cc1ccccc1F)C(=O)O,CC(N)(C=O)Cc1ccccc1F
CCc1cc(ccc1c2ccc(cc2)CC(C(=O)O)N)OC,9DW,(2~{s})-2-azanyl-3-[4-(2-ethyl-4-methoxy-phenyl)phenyl]propanoic acid,True,CCc1cc(OC)ccc1-c1ccc(CC(N)C(=O)O)cc1,CCc1cc(OC)ccc1-c1ccc(CC(N)C=O)cc1
C1COC2CC(OC2C1O)(CC(C(=O)O)N)C(=O)O,9DX,"(2r,3ar,7r,7ar)-2-[(2s)-2-amino-3-hydroxy-3-oxo-propyl]-7-hydroxy-3,3a,5,6,7,7a-hexahydrofuro[4,5-b]pyran-2-carboxylic acid",True,NC(CC1(C(=O)O)CC2OCCC(O)C2O1)C(=O)O,NC(C=O)CC1(C(=O)O)CC2OCCC(O)C2O1
C(CCNCS)CC(C(=O)O)N,9E7,n~6~-(sulfanylmethyl)-l-lysine,True,NC(CCCCNCS)C(=O)O,NC(C=O)CCCCNCS
Cc1cn(nn1)CCCC(C(=O)O)N,9FZ,"(2~{s})-2-azanyl-5-(4-methyl-1,2,3-triazol-1-yl)pentanoic acid",True,Cc1cn(CCCC(N)C(=O)O)nn1,Cc1cn(CCCC(N)C=O)nn1
CCc1cn(nn1)CCCC(C(=O)O)N,9G2,"(2~{s})-2-azanyl-5-(4-ethyl-1,2,3-triazol-1-yl)pentanoic acid",True,CCc1cn(CCCC(N)C(=O)O)nn1,CCc1cn(CCCC(N)C=O)nn1
c1ccc(c(c1)CC(C(=O)O)N)C#N,9IJ,2-cyano-l-phenylalanine,True,N#Cc1ccccc1CC(N)C(=O)O,N#Cc1ccccc1CC(N)C=O
CCCCC(C(=O)O)NC,9KK,n-methyl norleucine,True,CCCCC(NC)C(=O)O,CCCCC(C=O)NC
c1ccc(c(c1)C=CC(=NCCCCC(C(=O)O)N)C(=O)O)C(=O)O,9KP,(e)-n~6~-[(2e)-1-carboxy-3-(2-carboxyphenyl)prop-2-en-1-ylidene]-l-lysine,True,NC(CCCCN=C(C=Cc1ccccc1C(=O)O)C(=O)O)C(=O)O,NC(C=O)CCCCN=C(C=Cc1ccccc1C(=O)O)C(=O)O
c1cc(ccc1C(=O)NC(CCC(=O)O)C(=O)O)NC(=O)NC2=C(N=C(NC2=O)N)N,9L9,"(2s)-2-[[4-[[2,4-bis(azanyl)-6-oxidanylidene-1h-pyrimidin-5-yl]carbamoylamino]phenyl]carbonylamino]pentanedioic acid",True,Nc1nc(N)c(NC(=O)Nc2ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc2)c(=O)[nH]1,Nc1nc(N)c(NC(=O)Nc2ccc(C(=O)NC(C=O)CCC(=O)O)cc2)c(=O)[nH]1
C(CCC(=O)NCCCCC(C(=O)O)N)CCBr,9MN,(2~{s})-2-azanyl-6-(6-bromanylhexanoylamino)hexanoic acid,True,NC(CCCCNC(=O)CCCCCBr)C(=O)O,NC(C=O)CCCCNC(=O)CCCCCBr
CN(C)c1cccc2c1cccc2S(=O)(=O)NC(CCC(=O)O)C(=O)O,9NE,dansyl-l-glutamate,True,CN(C)c1cccc2c(S(=O)(=O)NC(CCC(=O)O)C(=O)O)cccc12,CN(C)c1cccc2c(S(=O)(=O)NC(C=O)CCC(=O)O)cccc12
CN(C)c1cccc2c1cccc2S(=O)(=O)NC(Cc3ccccc3)C(=O)O,9NF,dansyl-l-phenylalanine,True,CN(C)c1cccc2c(S(=O)(=O)NC(Cc3ccccc3)C(=O)O)cccc12,CN(C)c1cccc2c(S(=O)(=O)NC(C=O)Cc3ccccc3)cccc12
CN(C)c1cccc2c1cccc2S(=O)(=O)NC(CCCNC(=N)N)C(=O)O,9NR,dansyl-l-arginine,True,CN(C)c1cccc2c(S(=O)(=O)NC(CCCNC(=N)N)C(=O)O)cccc12,CN(C)c1cccc2c(S(=O)(=O)NC(C=O)CCCNC(=N)N)cccc12
CCCC(C(=O)O)NS(=O)(=O)c1cccc2c1cccc2N(C)C,9NV,dansyl-l-norvaline,True,CCCC(NS(=O)(=O)c1cccc2c(N(C)C)cccc12)C(=O)O,CCCC(C=O)NS(=O)(=O)c1cccc2c(N(C)C)cccc12
Cc1c(c(c(cn1)COP(=O)(O)O)C=NC(CS)C(=O)O)O,9PV,(2~{s})-2-[(~{e})-[2-methyl-3-oxidanyl-5-(phosphonooxymethyl)pyridin-4-yl]methylideneamino]-3-sulfanyl-propanoic acid,True,Cc1ncc(COP(=O)(O)O)c(C=NC(CS)C(=O)O)c1O,Cc1ncc(COP(=O)(O)O)c(C=NC(C=O)CS)c1O
C(CCC(C(=O)O)N)CCC(=O)O,9R1,(2s)-2-aminooctanedioic acid,True,NC(CCCCCC(=O)O)C(=O)O,NC(C=O)CCCCCC(=O)O
CN(CCCCC(C(=O)O)N)C1CC2CCC1C2,9RI,"n~6~-[(1r,2s,4s)-bicyclo[2.2.1]heptan-2-yl]-n~6~-methyl-l-lysine",True,CN(CCCCC(N)C(=O)O)C1CC2CCC1C2,CN(CCCCC(N)C=O)C1CC2CCC1C2
c1cc(cc(c1)N=[N+]=[N-])COC(=O)NCCCCC(C(=O)O)N,9TR,n6-{[(3-azidophenyl)methoxy]carbonyl}-l-lysine,True,[N-]=[N+]=Nc1cccc(COC(=O)NCCCCC(N)C(=O)O)c1,[N-]=[N+]=Nc1cccc(COC(=O)NCCCCC(N)C=O)c1
c1cc(cc(c1)C2(N=N2)C(F)(F)F)COC(=O)NCCCCC(C(=O)O)N,9TU,n6-[({3-[3-(trifluoromethyl)-3h-diaziren-3-yl]phenyl}methoxy)carbonyl]-l-lysine,True,NC(CCCCNC(=O)OCc1cccc(C2(C(F)(F)F)N=N2)c1)C(=O)O,NC(C=O)CCCCNC(=O)OCc1cccc(C2(C(F)(F)F)N=N2)c1
C#Cc1cccc(c1)COC(=O)NCCCCC(C(=O)O)N,9TX,n6-{[(3-ethynylphenyl)methoxy]carbonyl}-l-lysine,True,C#Cc1cccc(COC(=O)NCCCCC(N)C(=O)O)c1,C#Cc1cccc(COC(=O)NCCCCC(N)C=O)c1
C1CCC=CC(CC1)OC(=O)NCCCCC(C(=O)O)N,9U0,"n6-({[(1s,2e)-cyclooct-2-en-1-yl]oxy}carbonyl)-l-lysine",True,NC(CCCCNC(=O)OC1C=CCCCCC1)C(=O)O,NC(C=O)CCCCNC(=O)OC1C=CCCCCC1
c1ccc(cc1)COC(=O)NCC[Se]CC(C(=O)O)N,9U6,3-[(2-{[(benzyloxy)carbonyl]amino}ethyl)selanyl]-l-alanine,True,NC(C[Se]CCNC(=O)OCc1ccccc1)C(=O)O,NC(C=O)C[Se]CCNC(=O)OCc1ccccc1
C1CC2C(C2COC(=O)NCCCCC(C(=O)O)N)CCC#C1,9U9,"n6-({[(1r,8s,9s)-bicyclo[6.1.0]non-4-yn-9-yl]methoxy}carbonyl)-l-lysine",True,NC(CCCCNC(=O)OCC1C2CCC#CCCC21)C(=O)O,NC(C=O)CCCCNC(=O)OCC1C2CCC#CCCC21
c1cc(ccc1COC(=O)NCCCCC(C(=O)O)N)[N+](=O)[O-],9UC,n6-{[(4-nitrophenyl)methoxy]carbonyl}-l-lysine,True,NC(CCCCNC(=O)OCc1ccc([N+](=O)[O-])cc1)C(=O)O,NC(C=O)CCCCNC(=O)OCc1ccc([N+](=O)[O-])cc1
c1cc(ncc1COC(=O)NCCCCC(C(=O)O)N)N,9UF,n6-{[(6-aminopyridin-3-yl)methoxy]carbonyl}-l-lysine,True,Nc1ccc(COC(=O)NCCCCC(N)C(=O)O)cn1,Nc1ccc(COC(=O)NCCCCC(N)C=O)cn1
c1ccc(c(c1)COC(=O)NCCCCC(C(=O)O)N)N=[N+]=[N-],9V0,(2s)-2-azanyl-6-[(2-azidophenyl)methoxycarbonylamino]hexanoic acid,True,[N-]=[N+]=Nc1ccccc1COC(=O)NCCCCC(N)C(=O)O,[N-]=[N+]=Nc1ccccc1COC(=O)NCCCCC(N)C=O
c1ccc(c(c1)COC(=O)NCCCCC(C(=O)O)N)Cl,9V6,(2s)-2-azanyl-6-[(2-chlorophenyl)methoxycarbonylamino]hexanoic acid,True,NC(CCCCNC(=O)OCc1ccccc1Cl)C(=O)O,NC(C=O)CCCCNC(=O)OCc1ccccc1Cl
c1ccc(cc1)COC(=O)NCCCCC(C(=O)O)N,9VC,(2s)-2-azanyl-6-(phenylmethoxycarbonylamino)hexanoic acid,True,NC(CCCCNC(=O)OCc1ccccc1)C(=O)O,NC(C=O)CCCCNC(=O)OCc1ccccc1
c1ccc(c(c1)COC(=O)NCCCCC(C(=O)O)N)Br,9VL,(2s)-2-azanyl-6-[(2-bromophenyl)methoxycarbonylamino]hexanoic acid,True,NC(CCCCNC(=O)OCc1ccccc1Br)C(=O)O,NC(C=O)CCCCNC(=O)OCc1ccccc1Br
c1cc(ccc1COC(=O)NCCCCC(C(=O)O)N)C2(N=N2)C(F)(F)F,9VR,"(2s)-2-azanyl-6-[[4-[3-(trifluoromethyl)-1,2-diazirin-3-yl]phenyl]methoxycarbonylamino]hexanoic acid",True,NC(CCCCNC(=O)OCc1ccc(C2(C(F)(F)F)N=N2)cc1)C(=O)O,NC(C=O)CCCCNC(=O)OCc1ccc(C2(C(F)(F)F)N=N2)cc1
C(CN)C(=O)NC(CN)C(=O)O,9WV,beta-alanyl-3-amino-l-alanine,True,NCCC(=O)NC(CN)C(=O)O,NCCC(=O)NC(C=O)CN
Cc1c(c(c(cn1)COP(=O)(O)O)C2NC(CS2)C(=O)O)O,9YX,"(2~{s},4~{s})-2-[2-methyl-3-oxidanyl-5-(phosphonooxymethyl)pyridin-4-yl]-1,3-thiazolidine-4-carboxylic acid",True,Cc1ncc(COP(=O)(O)O)c(C2NC(C(=O)O)CS2)c1O,Cc1ncc(COP(=O)(O)O)c(C2NC(C=O)CS2)c1O
Cc1c(c(c(cn1)COP(=O)(O)O)C=NC(C(=O)O)C(C)(C)S)O,9ZN,(2~{r})-3-methyl-2-[(~{e})-[2-methyl-3-oxidanyl-5-(phosphonooxymethyl)pyridin-4-yl]methylideneamino]-3-sulfanyl-butanoic acid,True,Cc1ncc(COP(=O)(O)O)c(C=NC(C(=O)O)C(C)(C)S)c1O,Cc1ncc(COP(=O)(O)O)c(C=NC(C=O)C(C)(C)S)c1O
C(C(C(=O)O)N)C(=O)OC=O,A0A,(2s)-2-amino-4-(formyloxy)-4-oxobutanoic acid,True,NC(CC(=O)OC=O)C(=O)O,NC(C=O)CC(=O)OC=O
C(=C(C(=O)O)N)O,A0G,(2z)-2-amino-3-hydroxyprop-2-enoic acid,True,NC(=CO)C(=O)O,NC(C=O)=CO
c1ccc(cc1)C(=O)N2CC(CC2C(=O)O)N,A1A2J,"(2s,4s)-4-amino-1-benzoylpyrrolidine-2-carbaldehyde",True,NC1CC(C(=O)O)N(C(=O)c2ccccc2)C1,NC1CC(C=O)N(C(=O)c2ccccc2)C1
c1c(nnn1CC(=O)O)CC(C(=O)O)N,A1A2K,"3-[1-(carboxymethyl)-1h-1,2,3-triazol-4-yl]-d-alanine",True,NC(Cc1cn(CC(=O)O)nn1)C(=O)O,NC(C=O)Cc1cn(CC(=O)O)nn1
COc1ccc2c(c1)c(c[nH]2)CC(C(=O)O)N,A1A2Y,5-methoxy-l-tryptophan,True,COc1ccc2[nH]cc(CC(N)C(=O)O)c2c1,COc1ccc2[nH]cc(CC(N)C=O)c2c1
CC12CC34CCC1(C(C35CCN(C4Cc6c5cc(cc6)O)C)N(C2c7ccccc7)OC8NC=C(N8)CC(C(=O)O)N)OC,A1A7R,"3-[(2s)-2-{[(2r,3s,3ar,5as,6r,11br,11cs)-10-hydroxy-3a-methoxy-3,14-dimethyl-2-phenyl-2,3,3a,4,5,6,7,11c-octahydro-1h-6,11b-(epiminoethano)-3,5a-methanonaphtho[2,1-g]indol-1-yl]oxy}-2,3-dihydro-1h-imidazol-4-yl]-l-alanine",True,COC12CCC34CC1(C)C(c1ccccc1)N(OC1NC=C(CC(N)C(=O)O)N1)C2C31CCN(C)C4Cc2ccc(O)cc21,COC12CCC34CC1(C)C(c1ccccc1)N(OC1NC=C(CC(N)C=O)N1)C2C31CCN(C)C4Cc2ccc(O)cc21
CC(CC(C(=O)O)N)CF,A1ADO,(4r)-5-fluoro-l-leucine,True,CC(CF)CC(N)C(=O)O,CC(CF)CC(N)C=O
c1ccc(cc1)CC(C(=O)O)NC(=O)c2ccc(cc2Cl)Cl,A1AFA,"n-(2,4-dichlorobenzoyl)-l-phenylalanine",True,O=C(NC(Cc1ccccc1)C(=O)O)c1ccc(Cl)cc1Cl,O=CC(Cc1ccccc1)NC(=O)c1ccc(Cl)cc1Cl
CCCCCCCC(=O)NC(CCO)C(=O)O,A1AI3,n-octanoyl-l-homoserine,True,CCCCCCCC(=O)NC(CCO)C(=O)O,CCCCCCCC(=O)NC(C=O)CCO
CN(C)C(=O)CCCCC(C(=O)O)N,A1ALE,(2s)-2-amino-7-(dimethylamino)-7-oxoheptanoic acid,True,CN(C)C(=O)CCCCC(N)C(=O)O,CN(C)C(=O)CCCCC(N)C=O
c1cc(ccc1CC(C(=O)O)N)OP(=O)(O)O,A1AP1,o-phosphono-d-tyrosine,True,NC(Cc1ccc(OP(=O)(O)O)cc1)C(=O)O,NC(C=O)Cc1ccc(OP(=O)(O)O)cc1
COCOc1ccc(c(c1)Cl)c2nc(cs2)CC(=O)NCC(=O)O,A1APK,"n-({2-[2-chloro-4-(methoxymethoxy)phenyl]-1,3-thiazol-4-yl}acetyl)glycine",True,COCOc1ccc(-c2nc(CC(=O)NCC(=O)O)cs2)c(Cl)c1,COCOc1ccc(-c2nc(CC(=O)NCC=O)cs2)c(Cl)c1
c1ccc(cc1)c2ccc(cc2)CC(C(=O)O)N,A1AQ4,4-phenyl-d-phenylalanine,True,NC(Cc1ccc(-c2ccccc2)cc1)C(=O)O,NC(C=O)Cc1ccc(-c2ccccc2)cc1
C=CCNCC(=O)O,A1AV8,n-(prop-2-en-1-yl)glycine,True,C=CCNCC(=O)O,C=CCNCC=O
CC(CF)C(C(=O)O)N,A1AVU,(3s)-4-fluoro-l-valine,True,CC(CF)C(N)C(=O)O,CC(CF)C(N)C=O
c1cc(c2c(c1)[nH]cc2CC(C(=O)O)N)C#N,A1AWS,4-cyano-l-tryptophan,True,N#Cc1cccc2[nH]cc(CC(N)C(=O)O)c12,N#Cc1cccc2[nH]cc(CC(N)C=O)c12
Cn1cncc1CC(C(=O)O)N,A1AZ2,3-methyl-d-histidine,True,Cn1cncc1CC(N)C(=O)O,Cn1cncc1CC(N)C=O
c1c(nc[nH]1)CC(C(=O)O)NP(=O)(O)OCC2C(C(C(O2)n3cnc4c3ncnc4N)O)O,A1BA4,"(2s)-2-{[(r)-{[(2r,3s,4r,5r)-5-(6-amino-9h-purin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy}(hydroxy)phosphoryl]amino}-3-(1h-imidazol-4-yl)propanoic acid (non-preferred name)",True,Nc1ncnc2c1ncn2C1OC(COP(=O)(O)NC(Cc2c[nH]cn2)C(=O)O)C(O)C1O,Nc1ncnc2c1ncn2C1OC(COP(=O)(O)NC(C=O)Cc2c[nH]cn2)C(O)C1O
C1C(CNC1C(=O)O)OC(=O)NCCN,A1D5E,"(2~{s},4~{r})-4-(2-azanylethylcarbamoyloxy)pyrrolidine-2-carboxylic acid",True,NCCNC(=O)OC1CNC(C(=O)O)C1,NCCNC(=O)OC1CNC(C=O)C1
c1cc(ccc1C(C(C(=O)O)N)O)O,A1D5P,"(2~{r},3~{s})-2-azanyl-3-(4-hydroxyphenyl)-3-oxidanyl-propanoic acid",True,NC(C(=O)O)C(O)c1ccc(O)cc1,NC(C=O)C(O)c1ccc(O)cc1
c1cc(ccc1N)SCC(C(=O)O)N,A1D64,(2~{r})-3-(4-aminophenyl)sulfanyl-2-azanyl-propanoic acid,True,Nc1ccc(SCC(N)C(=O)O)cc1,Nc1ccc(SCC(N)C=O)cc1
C1C2CC3CC1CC(C2)(C3)C(C(=O)O)N,A1G,"(2s)-amino[(3r,5r,7r)-tricyclo[3.3.1.1~3,7~]decan-1-yl]acetic acid",True,NC(C(=O)O)C12CC3CC(CC(C3)C1)C2,NC(C=O)C12CC3CC(CC(C3)C1)C2
c1nc(c2c(n1)n(cn2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OCC4C(C(C(O4)NC(=O)CC(C(=O)O)N)O)O)O)O)N,A1H20,"(2~{s})-4-[[(2~{s},3~{r},4~{s},5~{r})-5-[[[[(2~{r},3~{s},4~{r},5~{r})-5-(6-aminopurin-9-yl)-3,4-bis(oxidanyl)oxolan-2-yl]methoxy-oxidanyl-phosphoryl]oxy-oxidanyl-phosphoryl]oxymethyl]-3,4-bis(oxidanyl)oxolan-2-yl]amino]-2-azanyl-4-oxidanylidene-butanoic acid",True,Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OCC2OC(NC(=O)CC(N)C(=O)O)C(O)C2O)C(O)C1O,Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OCC2OC(NC(=O)CC(N)C=O)C(O)C2O)C(O)C1O
c1ccc2c(c1)C(CN2)CC(C(=O)O)N,A1H2D,"(2~{s})-2-azanyl-3-[(3~{s})-2,3-dihydro-1~{h}-indol-3-yl]propanoic acid",True,NC(CC1CNc2ccccc21)C(=O)O,NC(C=O)CC1CNc2ccccc21
c1cc(c(cc1CC(C(=O)O)N)F)[N+](=O)[O-],A1H2H,(2~{s})-2-azanyl-3-(3-fluoranyl-4-nitro-phenyl)propanoic acid,True,NC(Cc1ccc([N+](=O)[O-])c(F)c1)C(=O)O,NC(C=O)Cc1ccc([N+](=O)[O-])c(F)c1
c1cc2c(cc1O)C(C(=O)N2)CC(C(=O)O)N,A1H2I,"(2~{s})-2-azanyl-3-[(3~{s})-5-oxidanyl-2-oxidanylidene-1,3-dihydroindol-3-yl]propanoic acid",True,NC(CC1C(=O)Nc2ccc(O)cc21)C(=O)O,NC(C=O)CC1C(=O)Nc2ccc(O)cc21
C(C(C(=O)O)N)N=[N+]=N,A1H5W,3-azido-l-alanine,True,N=[N+]=NCC(N)C(=O)O,N=[N+]=NCC(N)C=O
c1cc(ccc1CC(C(=O)O)N)S,A1IID,4-mercaptophenyl-alanine,True,NC(Cc1ccc(S)cc1)C(=O)O,NC(C=O)Cc1ccc(S)cc1
