smiles,ccdid,description,sm_check,rd_smiles,res_smiles
c1ccc(cc1)N=Nc2ccc(cc2)C=CCC(CC(C(=O)O)N)C(=O)O,11W,(4r)-4-[(2e)-3-{4-[(e)-phenyldiazenyl]phenyl}prop-2-en-1-yl]-l-glutamic acid,True,NC(CC(CC=Cc1ccc(N=Nc2ccccc2)cc1)C(=O)O)C(=O)O,NC(C=O)CC(CC=Cc1ccc(N=Nc2ccccc2)cc1)C(=O)O
CC(C(C(=O)O)NC(=O)Nc1c2c(nc(n1)SC)n(cn2)C3C(C(C(O3)COP(=O)(O)O)O)O)O,12A,2-methylthio-n6-(aminocarbonyl-l-threonyl)-adenosine-5'-monophosphate,True,CSc1nc(NC(=O)NC(C(=O)O)C(C)O)c2ncn(C3OC(COP(=O)(O)O)C(O)C3O)c2n1,CSc1nc(NC(=O)NC(C=O)C(C)O)c2ncn(C3OC(COP(=O)(O)O)C(O)C3O)c2n1
CSCCC(C(=O)O)NCC(Cc1ccccc1)N,13E,n-[(2s)-2-amino-3-phenylpropyl]-l-methionine,True,CSCCC(NCC(N)Cc1ccccc1)C(=O)O,CSCCC(C=O)NCC(N)Cc1ccccc1
CC(Cc1ccc(c(c1)O)O)(C(=O)O)NN,142,carbidopa,True,CC(Cc1ccc(O)c(O)c1)(NN)C(=O)O,CC(C=O)(Cc1ccc(O)c(O)c1)NN
CC(COC(=O)Cc1ccccc1)(C(C(=O)O)Nc2c(cc3n2cccc3)C=O)S(=O)O,17K,(3r)-n-(2-formylindolizin-3-yl)-4-[(phenylacetyl)oxy]-3-sulfino-d-valine,True,CC(COC(=O)Cc1ccccc1)(C(Nc1c(C=O)cc2ccccn12)C(=O)O)S(=O)O,CC(COC(=O)Cc1ccccc1)(C(C=O)Nc1c(C=O)cc2ccccn12)S(=O)O
C1CC(C1)(C(=O)O)N,192,1-aminocyclobutanecarboxlic acid,True,NC1(C(=O)O)CCC1,NC1(C=O)CCC1
C(CNC(=O)CCN)C(C(=O)O)N,193,(2s)-4-(beta-alanylamino)-2-aminobutanoic acid,True,NCCC(=O)NCCC(N)C(=O)O,NCCC(=O)NCCC(N)C=O
C(CC(C(=O)O)N)CON,19W,5-(aminooxy)-l-norvaline,True,NOCCCC(N)C(=O)O,NOCCCC(N)C=O
C1CC1(C(=O)O)N,1AC,1-aminocyclopropanecarboxylic acid,True,NC1(C(=O)O)CC1,NC1(C=O)CC1
COc1cc(cc(c1OC)OC)CN2CCCC2C(=O)O,1C3,"1-(3,4,5-trimethoxybenzyl)-l-proline",True,COc1cc(CN2CCCC2C(=O)O)cc(OC)c1OC,COc1cc(CN2CCCC2C=O)cc(OC)c1OC
C(CCCC(C(=O)O)N)CCCN,1E3,"(2s)-2,9-diaminononanoic acid",True,NCCCCCCCC(N)C(=O)O,NCCCCCCCC(N)C=O
CCCCCCCC(=O)OCC(C(=O)O)N,1IC,o-octanoyl-d-serine,True,CCCCCCCC(=O)OCC(N)C(=O)O,CCCCCCCC(=O)OCC(N)C=O
C(C(C(=O)O)NC(=O)CP(=O)(O)O)C(=O)N,1IP,n~2~-(phosphonoacetyl)-l-asparagine,True,NC(=O)CC(NC(=O)CP(=O)(O)O)C(=O)O,NC(=O)CC(C=O)NC(=O)CP(=O)(O)O
CNC(Cc1ccc(cc1)C(=O)O)C(=O)O,1JM,4-carboxy-n-methyl-d-phenylalanine,True,CNC(Cc1ccc(C(=O)O)cc1)C(=O)O,CNC(C=O)Cc1ccc(C(=O)O)cc1
